zip_code,total_pop,total_24_29_female,total_30_34_female,total_24_29_male,total_30_34_male,total_24_29_female_wht,total_30_34_female_wht,total_24_29_male_wht,total_30_34_male_wht,total_wht,with_bachelors,with_advanced_deg,pct_25_34,pct_college_deg,pct_wht
94102,30140,1653,1562,2245,1821,781,735,1192,1182,13570,7298,4145,23.297942932979428,37.966157929661584,45.02322495023225
94103,26990,1456,1409,2112,2283,549,523,851,1169,11263,7190,3790,23.660615042608374,40.6817339755465,41.730270470544646
94104,436,21,0,28,44,0,0,28,0,177,108,41,11.238532110091743,34.174311926605505,40.596330275229356
94105,7675,506,588,416,532,263,87,262,316,3908,2279,3407,27.335504885993483,74.08469055374593,50.9185667752443
94107,29920,1567,2586,2057,2305,886,1293,1279,1389,15881,9404,7664,29.398395721925137,57.04545454545455,53.07820855614973
94108,14856,1166,855,856,839,644,409,576,327,5110,3639,2033,25.121163166397416,38.17985998922994,34.396876682821755
94109,56587,5433,3998,4319,5393,3543,2847,2788,4143,34621,19627,12593,31.364094226589145,56.93887288599855,61.18189690211533
94110,73737,3938,4236,5212,5455,2628,2702,3152,3168,41759,19491,13046,23.8984498962529,44.12574419897744,56.63235553385682
94111,3356,104,154,101,253,37,45,73,169,1829,932,1075,15.286054827175208,59.80333730631704,54.49940405244339
94112,85373,3410,3268,4513,3688,496,780,1054,1247,20813,13781,5763,16.936267906715237,22.892483572089535,24.378901994775866
94114,34561,1697,2069,1710,2683,1244,1436,1197,2125,26570,11158,11756,21.830965539191574,66.3001649257834,76.87856254159313
94115,35751,2555,2246,2826,2290,1612,1402,1901,1774,20587,10964,8872,27.616010740958295,55.48376269195268,57.58440323347599
94116,47708,2037,2015,1849,1625,617,697,817,497,17599,11381,6547,16.59260501383416,37.57860316927978,36.888991364131805
94117,43610,4053,3385,3883,3216,2994,2732,2677,2626,32506,16222,10407,33.72162348085301,61.06168310020637,74.53795001146526
94118,41417,2947,2280,2428,2380,1858,1407,1418,1693,23844,12720,9046,23.987734505154886,52.55329936982398,57.570562812371726
94121,43638,1882,1733,2020,1602,888,724,999,773,19621,11663,7435,16.884366836243643,43.764608827168985,44.96310555020853
94122,62516,4081,3119,3593,3629,1642,1462,1780,1690,24547,17916,10867,22.25350310320558,46.04101350054386,39.265148122080745
94123,25461,2331,2424,2373,2135,1933,2066,2134,1850,21219,11258,6487,37.51620124896901,69.69482738305643,83.3392246965948
94124,35492,1494,1578,1669,1560,203,250,395,211,4768,4471,1660,17.804012171757016,17.27431533866787,13.434013298771555
94127,21093,506,693,601,565,165,376,284,376,11788,5941,5078,11.819086900867587,52.240079647276346,55.885838903901764
94129,4019,293,221,203,160,269,210,203,148,3411,1053,976,23.339139089325702,50.485195322219454,84.87185867131127
94130,3129,184,157,279,202,58,56,173,90,1235,548,164,24.832214765100673,22.75487376158517,39.469479066794506
94131,29056,1170,1390,1558,1522,597,860,1011,1049,18825,8574,8188,18.95649779735683,57.68860132158591,64.78868392070484
94132,31155,1278,695,1597,893,482,102,573,293,10830,6067,3470,13.689616433959237,30.61145883485797,34.761675493500235
94133,26942,1389,1454,1425,1669,815,898,1046,1038,11558,6736,4554,21.238215425729344,41.9048326033702,42.89956202212159
94134,43074,1665,1470,1657,1369,190,246,464,114,7137,5539,2106,14.53777220597112,17.748525792821656,16.56916005014626
94158,6547,599,787,557,745,368,374,312,446,3266,2334,1602,41.698487857033754,60.11913853673438,49.88544371467848
